GISJOIN,Object_ID,Name,Address,City,State,ZIP,County,Country
G0100330,22551,CHEROKEE POLICE DEPARTMENT,3752 OLD LEE HIGHWAY,CHEROKEE,AL,35616,COLBERT,USA
G0100190,22129,CHEROKEE COUNTY SHERIFFS DEPARTMENT,110 CEDAR BLUFF ROAD,CENTRE,AL,35960,CHEROKEE,USA
G0100190,22185,CENTRE POLICE DEPARTMENT,401 EAST MAIN STREET,CENTRE,AL,35960,CHEROKEE,USA
G0100190,22456,CEDAR BLUFF POLICE DEPARTMENT,3420 SPRING STREET, MUNICIPAL BUILDING,CEDAR BLUFF,AL,35959,CHEROKEE,USA
G0100190,22533,LEESBURG POLICE DEPARTMENT,1910 LOKEY STREET,LEESBURG,AL,35983,CHEROKEE,USA
G0100110,22596,UNION SPRINGS POLICE DEPARTMENT / UNION SPRINGS CITY JAIL,305 PRAIRIE STREET NORTH,UNION SPRINGS,AL,36089,BULLOCK,USA
G0100110,22392,BULLOCK COUNTY SHERIFFS DEPARTMENT,217 NORTH PRARIE STREET, BULLOCK COUNTY COURTHOUSE,UNION SPRINGS,AL,36089,BULLOCK,USA
G0100450,22432,ARITON POLICE DEPARTMENT,6 ATLANTIC STREET,ARITON,AL,36311,DALE,USA
G0100450,22168,NEWTON POLICE DEPARTMENT,9 NORTH COLLEGE STREET,NEWTON,AL,36352,DALE,USA
G0100450,22112,DALEVILLE POLICE DEPARTMENT / DALEVILLE JAIL,730 SOUTH DALEVILLE AVENUE,DALEVILLE,AL,36322,DALE,USA
G0100450,22486,CLAYHATCHEE POLICE DEPARTMENT,1 WEST MAIN STREET,DALEVILLE,AL,36322,DALE,USA
G0100450,22409,LEVEL PLAINS POLICE DEPARTMENT,1708 JOE BRUER ROAD,DALEVILLE,AL,36322,DALE,USA
G0100450,20849,WIREGRASS VIOLENT CRIME TASK,139 WEST REYNOLDS ROAD,OZARK,AL,36360,DALE,USA
G0100450,20821,SOUTHEAST ALABAMA CRIMINAL INTELLIGENCE PROGRAM,100 COURT SQUARE, COURTHOUSE,OZARK,AL,36360,DALE,USA
G0100450,22020,DALE COUNTY SHERIFFS DEPARTMENT,100 COURT SQUARE,OZARK,AL,36360,DALE,USA
G0100450,22401,OZARK POLICE DEPARTMENT,275 NORTH UNION AVENUE,OZARK,AL,36360,DALE,USA
G0100450,22164,PINCKARD POLICE DEPARTMENT,1309 STATE HIGHWAY 134 EAST,PINCKARD,AL,36371,DALE,USA
G0100450,22493,DOTHAN REGIONAL AIRPORT POLICE DEPARTMENT,800 AIRPORT DRIVE,DOTHAN,AL,36303,DALE,USA
G0100450,22458,NAPIER FIELD POLICE DEPARTMENT,400 HEADQUARTERS STREET,DOTHAN,AL,36303,DALE,USA
G0100450,22016,GEORGE WALLACE COMMUNITY COLLEGE - DOTHAN POLICE,1141 WALLACE DRIVE, CAMPUS SECURITY,DOTHAN,AL,36303,DALE,USA
G0100450,22462,MIDLAND CITY POLICE DEPARTMENT,1343 HINTON WATERS AVENUE,MIDLAND CITY,AL,36350,DALE,USA
G0100350,20877,REPTON POLICE DEPARTMENT,1524 CONALEY STREET,REPTON,AL,36475,CONECUH,USA
G0100350,22025,REID STATE TECHNICAL COLLEGE,INTERSTATE HIGHWAY 65 AND STATE HIGHWAY 83,EVERGREEN,AL,36401,CONECUH,USA
G0100350,20880,ALABAMA DEPARTMENT OF PUBLIC SAFETY HIGHWAY PATROL DIVISION - EVERGREEN POST,106 HILLCREST DRIVE,EVERGREEN,AL,36401,CONECUH,USA
G0100350,22504,CONECUH COUNTY SHERIFFS DEPARTMENT / CONECUH COUNTY DETENTION CENTER,104 LIBERTY STREET,EVERGREEN,AL,36401,CONECUH,USA
G0100350,22464,EVERGREEN POLICE DEPARTMENT,210 EAST FRONT STREET,EVERGREEN,AL,36401,CONECUH,USA
G0100350,20847,CASTLEBERRY POLICE DEPARTMENT,97 CLEVELAND AVENUE,CASTLEBERRY,AL,36432,CONECUH,USA
G0100090,20690,HIGHLAND LAKE POLICE DEPARTMENT,612 LAKESHORE DRIVE,ONEONTA,AL,35121,BLOUNT,USA
G0100090,22398,ONEONTA POLICE DEPARTMENT,302 2ND STREET N,ONEONTA,AL,35121,BLOUNT,USA
G0100090,22591,BLOUNT COUNTY SHERIFFS DEPARTMENT / BLOUNT COUNTY JAIL,225 INDUSTRIAL PARK ROAD,ONEONTA,AL,35121,BLOUNT,USA
G0100090,20864,30TH JUDICIAL CIRCUIT TASK FORCE,225 INDUSTRIAL PARK ROAD,ONEONTA,AL,35121,BLOUNT,USA
G0100090,20858,SUSAN MOORE POLICE DEPARTMENT,39989 STATE HIGHWAY 75,ALTOONA,AL,35952,BLOUNT,USA
G0100090,22564,CLEVELAND POLICE DEPARTMENT,62732 UNITED STATES HIGHWAY 231,CLEVELAND,AL,35049,BLOUNT,USA
G0100090,20691,RICKWOOD CAVERNS STATE PARK - RANGER STATION,370 RICKWOOD PARK ROAD,WARRIOR,AL,35180,BLOUNT,USA
G0100090,22537,BLOUNTSVILLE POLICE DEPARTMENT,171 WATER STREET,BLOUNTSVILLE,AL,35031,BLOUNT,USA
G0100090,22378,SNEAD POLICE DEPARTMENT,87608 UNITED STATES HIGHWAY 278,SNEAD,AL,35952,BLOUNT,USA
G0100590,22108,RUSSELLVILLE POLICE DEPARTMENT / RUSSELVILLE CITY JAIL,400 JACKSON AVENUE NORTH,RUSSELLVILLE,AL,35653,FRANKLIN,USA
G0100590,21999,RED BAY POLICE DEPARTMENT / CITY JAIL,112 5TH AVENUE SOUTHEAST,RED BAY,AL,35582,FRANKLIN,USA
